,count,hate_speech,offensive_language,neither,class,tweet
0,3,0,0,3,2,  @mayasolovely: As woman you shouldnt complain about cleaning up your house &amp; as man you should always take  trash out
1,3,0,3,0,1,  @mleew17: boy dats coldtyga dwn bad for cuffin dat hoe in  1st place
2,3,0,3,0,1,  @UrKindOfBrand Dawg  @80sbaby4life: You ever fuck bch and she sta to cry You be confused as sh
3,3,0,2,1,1,  @C_G_Anderson: @viva_based she look like tranny
4,6,0,6,0,1,  @ShenikaRobes:  sh you hear about me might be true or  might be faker than  bch who told  to ya &#57361;
5,3,1,2,0,1,@T_Madon_x:  sh just blows meclaim you so fahful and down for somebody but still fucking wh hoes &#128514;&#128514;&#128514;
6,3,0,3,0,1,@__BrighterDays: can not just up and HATE on anor bch  got too much sh going on
7,3,0,3,0,1,&#8220;@selfiequeenbri: cause Im tired of you big bches coming for us skinny girls&#8221;
8,3,0,3,0,1, &amp; you might not get ya bch back &amp; thats that 
9,3,1,2,0,1," @rhythmixx_ :hobbies include: fighting Mariam

bch"
10,3,0,3,0,1, Keeks  bch she curves everyone  lol walked into conversation like th Smh
11,3,0,3,0,1, Murda Gang bch Gang Land 
12,3,0,2,1,1, So hoes that smoke are losers   yea  go on IG
13,3,0,3,0,1, bad bches   only thing that like 
14,3,1,2,0,1, bch get up off me 
15,3,0,3,0,1, bch nigga ms me wh  
16,3,0,3,0,1, bch plz whatever 
17,3,1,2,0,1, bch who do you love 
18,3,0,3,0,1, bches get cut off everyday 
19,3,0,3,0,1, black bottle &amp; bad bch 
20,3,0,3,0,1, broke bch cant tell me nothing 
21,3,0,3,0,1, cancel that bch like Nino 
22,3,0,3,0,1, cant you see se hoes wont change 
23,3,0,3,0,1, fuck no that bch dont even suck dick  &#128514;&#128514;&#128514;  Kerm videos bout to fuck IG up
24,3,0,3,0,1, got ya bch tip toeing on my hardwood floors  &#128514; http://tco/cOU2WQ5L4q
25,3,0,2,1,1, her pussy lips like Heaven doors  &#128524;
26,3,0,3,0,1, hoe what hting for 
27,3,0,3,0,1, met that pussy on Ocean Dr  gave that pussy pill  &#128524;
28,3,0,3,0,1, need trippy bch who fuck on Hennessy 
29,3,0,3,0,1, spend my money how want bch my business 
30,3,0,3,0,1, txt my old bch my new bch pussy wetter 
31,3,0,3,0,1, id say im back to  old me but my old bches would get exced  &#128524;
32,3,0,3,0,1, if you aint bout that Murder Game pussy nigga shut up 
33,3,0,3,0,1, if youre toes aint done you pussy stinks 
34,3,0,3,0,1, im done wh bter bches wrap for that  if you angry bird res app for that 
35,3,0,3,0,1,  that ya bch 
36,3,0,3,0,1,  aint nothing to cut bch off 
37,3,0,3,0,1, jus meet son now he ya mane ass bches  #Shots
38,3,0,2,1,1, lames crying over hoes thats tears of clown 
39,3,0,3,0,1, like Snoop said in 94 we dont love se hoes 
40,3,0,1,2,2, momma said no pussy cats inside my doghouse 
41,3,0,3,0,1, most hated but  hoes favore  #2MW #SevenOne # http://tco/BMdSVMc3rC
42,3,0,3,0,1, nice girls bad make me get naughty Bad yello hoe real nice body Down south chick like em real thick http://tco/bzRDl3kF7U
43,3,0,3,0,1, pimps up pimps up hoes down  Future voice
44,3,0,3,0,1, post picture of that pussy get 200 likes 
45,3,0,3,0,1, pussy  powerful drug  &#128517; #HappyHumpDay http://tco/R8jsymiB5b
46,3,0,3,0,1, quick piece of pussy call  drive by 
47,3,0,3,0,1, running round here like some brand new pussy thats bout to get fucked 
48,3,0,3,0,1, se bches even worst yll send guys for you 
49,3,1,2,0,1, se hoes like niggas that spend money not talk bout  
